Doctor ID,Doctor F_Name,Doctor L_Name,Department ID,Contact,Specialty
1,Michael,Johnson,1,555-112-5264,Nephrology
2,Patricia,Smith,10,555-184-9530,Gastroenterology
3,Linda,Davis,4,555-302-5333,"Urology,Cardiology"
4,Robert,Davis,10,555-534-9413,Rheumatology
5,Michael,Garcia,5,555-157-1157,Gastroenterology
6,Elizabeth,Jones,8,555-931-8114,Pediatrics
7,John,Williams,4,555-802-2741,Rheumatology
8,Michael,Garcia,5,555-894-4758,Cardiology
9,Linda,Miller,2,555-729-3120,Pathology
10,Robert,Williams,4,555-622-9383,Endocrinology
11,Patricia,Smith,4,555-303-9544,"Urology,Pathology"
12,Linda,Williams,5,555-217-3743,Ophthalmology
13,Linda,Jones,2,555-599-8434,Rheumatology
14,John,Williams,7,555-408-3965,Otolaryngology
15,Jennifer,Smith,7,555-355-6431,Pulmonology
16,Robert,Jones,7,555-536-8956,Psychiatry
17,Mary,Wilson,8,555-788-9914,Pulmonology
18,Linda,Davis,2,555-374-7528,Endocrinology
19,Jennifer,Davis,6,555-232-2912,Endocrinology
20,Mary,Rodriguez,1,555-805-1314,Otolaryngology
21,Robert,Wilson,10,555-823-3437,Gastroenterology
22,James,Wilson,4,555-798-5299,Gastroenterology
23,Elizabeth,Williams,3,555-175-1393,"Surgery,Pathology"
24,Jennifer,Davis,1,555-554-1663,Dermatology
25,William,Smith,10,555-727-3473,Surgery
26,James,Brown,8,555-665-8643,Otolaryngology
27,Elizabeth,Brown,3,555-567-8879,Gastroenterology
28,John,Jones,9,555-297-9842,Psychiatry
29,Michael,Davis,3,555-452-7120,Neurology
30,Patricia,Davis,9,555-915-2516,Dermatology
31,William,Brown,6,555-101-4285,Oncology
32,John,Davis,6,555-618-7247,Oncology
33,Robert,Williams,2,555-714-9000,Pathology
34,John,Miller,9,555-481-3672,Neurology
35,Michael,Johnson,8,555-249-5138,Pediatrics
36,Robert,Wilson,6,555-863-1892,Oncology
37,William,Rodriguez,6,555-972-5059,Oncology
38,Michael,Jones,3,555-326-8721,Neurology
39,Mary,Miller,5,555-140-2368,Ophthalmology
40,Patricia,Brown,1,555-690-4714,Nephrology
41,William,Wilson,9,555-467-1280,Dermatology
42,Mary,Davis,2,555-284-7496,Pathology
43,Elizabeth,Rodriguez,8,555-837-9162,Pediatrics
44,William,Davis,10,555-510-3829,Gastroenterology
45,Elizabeth,Smith,4,555-764-6595,Urology
46,Robert,Smith,7,555-391-2061,Otolaryngology
47,Mary,Rodriguez,3,555-948-4627,Neurology
48,Patricia,Rodriguez,6,555-165-8300,Oncology
49,Michael,Brown,5,555-642-2973,Ophthalmology
450,Linda,Rodriguez,2,555-419-5540,Pathology
51,John,Williams,9,555-816-7206,Dermatology
52,James,Davis,1,555-583-1869,Nephrology
53,Patricia,Miller,7,555-741-4335,Pulmonology
54,Mary,Garcia,8,555-924-6001,Pediatrics
55,Linda,Rodriguez,2,555-361-9677,Pathology
56,Patricia,Jones,10,555-198-2744,Surgery
57,Mary,Smith,4,555-675-5410,Urology
58,Jennifer,Williams,9,555-492-7776,Dermatology
59,Jennifer,Wilson,3,555-260-1142,Neurology
60,Elizabeth,Garcia,6,555-887-3908,Oncology
61,Patricia,Miller,5,555-900-6575,"Ophthalmology,Urology"
62,Jennifer,Garcia,1,555-337-9241,Nephrology
63,Mary,Rodriguez,10,555-125-2018,Surgery
64,Elizabeth,Brown,4,555-604-5782,Urology
65,Mary,Smith,7,555-421-8448,Pulmonology
66,Elizabeth,Smith,3,555-207-2214,Neurology
67,Patricia,Wilson,6,555-854-4980,Oncology
68,Linda,Brown,5,555-953-7653,Ophthalmology
69,Michael,Davis,2,555-378-1320,Pathology
70,William,Johnson,9,555-104-4089,Dermatology
71,Linda,Williams,8,555-631-6755,Pediatrics
72,Robert,Smith,10,555-458-9421,Surgery
73,Mary,Jones,4,555-235-3087,Urology
74,Robert,Smith,7,555-808-5753,Pulmonology
75,Linda,Garcia,3,555-525-8419,Neurology
76,Elizabeth,Smith,6,555-771-1085,Oncology
77,William,Smith,5,555-548-4736,Ophthalmology
78,William,Johnson,1,555-315-7402,Nephrology
79,James,Johnson,10,555-182-9173,Surgery
80,William,Miller,4,555-662-2139,Urology
81,Michael,Davis,7,555-439-5805,Pulmonology
82,William,Jones,3,555-226-8471,Neurology
83,Linda,Smith,6,555-890-1137,Oncology
84,James,Smith,5,555-917-4800,Ophthalmology
85,Linda,Williams,2,555-352-7467,Pathology
86,Linda,Johnson,9,555-130-1794,Dermatology
87,John,Jones,8,555-687-4460,Pediatrics
88,James,Wilson,10,555-484-7126,Surgery
89,Linda,Miller,4,555-251-9792,Urology
90,John,Davis,7,555-824-2458,Pulmonology
91,John,Brown,3,555-501-6124,Neurology
92,James,Davis,6,555-758-8890,Oncology
93,Robert,Garcia,5,555-575-1561,Ophthalmology
94,Elizabeth,Smith,1,555-343-4227,Nephrology
95,Michael,Miller,10,555-110-7908,Surgery
96,Elizabeth,Garcia,4,555-611-1574,Urology
97,William,Jones,7,555-468-4240,Pulmonology
98,Michael,Brown,3,555-245-7006,Neurology
99,William,Johnson,6,555-873-9772,Oncology
100,Linda,Miller,5,555-960-2539,Ophthalmology
